candidate_id,job_id,education_level,years_experience,num_relevant_skills,skills,internal_referral,interview_score,technical_test_score,soft_skill_score,hiring_eligibility
1432,2552,Master,16,4,"Machine Learning, Cloud Computing",No,6.27,5.94,4.39,Not Eligible
1433,880,Master,1,1,Leadership,No,5.95,8.76,3.05,Not Eligible
1434,948,Bachelor,0,3,"Python, Cloud Computing, Communication",Yes,2.51,3.3,3.18,Not Eligible
1435,3930,Master,3,3,"Leadership, Cloud Computing, Communication",No,3.51,7.16,5.12,Not Eligible
1436,781,Bachelor,16,4,"Python, Communication, Machine Learning",No,7.68,4.72,8.55,Not Eligible
1437,4023,Bachelor,6,1,"Cloud Computing, Communication, SQL, Python",Yes,2.93,1.95,5.96,Not Eligible
1438,1186,Bachelor,4,4,"Excel, Python, Machine Learning, SQL",Yes,7.24,4.44,6.15,Eligible
1439,4919,Bachelor,7,1,"Machine Learning, Excel, Communication, SQL",No,7.81,4.06,7.41,Not Eligible
1440,2398,Bachelor,0,4,"Data Visualization, Excel, Leadership, Python",Yes,7.78,3.9,3.62,Eligible
1441,4009,Bachelor,9,4,"Data Visualization, SQL, Leadership",No,7.66,6.65,4.42,Not Eligible
1442,4098,PhD,3,4,"Leadership, Machine Learning, Communication, Excel",No,3.34,4.65,8.63,Not Eligible
1443,2764,Master,13,1,SQL,Yes,4.79,2.01,1.47,Not Eligible
1444,854,Master,8,2,Python,No,5.22,2.9,5.62,Not Eligible
1445,870,Bachelor,16,1,"Communication, Machine Learning",Yes,9.53,5.57,5.82,Eligible
1446,4877,Bachelor,13,2,Python,No,3.96,5.65,5.97,Not Eligible
1447,2480,Bachelor,18,1,"Leadership, Data Visualization, SQL, Cloud Computing",Yes,9.44,1.33,7.85,Eligible
1448,857,Bachelor,1,1,"SQL, Leadership, Machine Learning, Cloud Computing",No,8.86,2.58,5.06,Not Eligible
1449,4008,Bachelor,13,3,"Machine Learning, Communication, Cloud Computing",No,7.89,6.91,8.59,Not Eligible
1450,1639,Bachelor,8,3,"Data Visualization, SQL, Machine Learning",No,7.19,4.18,4.05,Not Eligible
1451,2543,Bachelor,4,2,"Python, Excel, Cloud Computing, SQL",Yes,5.46,4.01,4.06,Not Eligible
1452,2581,Bachelor,14,4,"Python, Leadership, Excel",Yes,2.07,1.42,9.68,Not Eligible
1453,4370,Bachelor,5,2,"SQL, Communication",Yes,5.38,4.49,3.92,Not Eligible
1454,601,Bachelor,15,3,"Cloud Computing, SQL",Yes,1.22,1.53,2.73,Not Eligible
1455,1232,Bachelor,10,3,"Machine Learning, Data Visualization",Yes,5.4,3.54,5.97,Not Eligible
1456,1133,Bachelor,8,4,"Excel, Communication, Python",No,6.68,2.02,9.57,Not Eligible
1457,2810,PhD,11,2,Data Visualization,No,4.62,8.54,8.01,Not Eligible
1458,575,Bachelor,7,4,"SQL, Leadership, Machine Learning, Cloud Computing",No,2.13,2.79,4.93,Not Eligible
1459,3772,Bachelor,16,3,"Machine Learning, Cloud Computing, Communication",No,7.27,2.14,5.55,Not Eligible
1460,686,Master,11,4,"Excel, Leadership, Python",No,8.58,8.64,9.98,Eligible
1461,2262,Bachelor,0,2,"Python, Cloud Computing, Machine Learning, SQL",No,6.77,6.6,7.47,Not Eligible
1462,684,Master,7,4,"Communication, Python",No,6.22,9.56,1.91,Eligible
1463,4748,Bachelor,0,1,"Cloud Computing, Communication",No,4.81,6.64,6.49,Not Eligible
1464,2795,PhD,12,4,"Communication, Leadership",No,7.05,7.09,9.48,Eligible
1465,2522,Bachelor,4,3,Cloud Computing,No,3.83,4.25,2.74,Not Eligible
1466,2844,Bachelor,19,2,"Cloud Computing, Machine Learning",No,6.22,7.71,7.96,Not Eligible
1467,4964,Master,4,4,"Data Visualization, Machine Learning, SQL, Cloud Computing",No,4,6.24,4.73,Not Eligible
1468,4006,Bachelor,7,1,"Leadership, Communication, Excel, SQL",No,6.56,2.43,2.29,Not Eligible
1469,2999,Bachelor,10,3,"Excel, SQL",Yes,5.2,2.4,8.55,Not Eligible
1470,4494,Bachelor,19,2,"SQL, Cloud Computing, Communication, Machine Learning",No,3.06,6.79,6.76,Not Eligible
1471,1786,Bachelor,7,2,"Excel, SQL",No,3.44,3.45,1.11,Not Eligible
1472,2111,Bachelor,9,4,"SQL, Leadership, Excel, Communication",Yes,7.55,5.9,8.48,Eligible
1473,4014,Master,4,2,"Cloud Computing, Leadership, Python, Machine Learning",No,2.52,2.73,5.82,Not Eligible
1474,4172,Bachelor,19,2,"Excel, Cloud Computing, Leadership",No,3.61,4.77,6.62,Not Eligible
1475,1483,Bachelor,2,3,"Data Visualization, Machine Learning",Yes,7.51,8.76,6.07,Eligible
1476,4484,Bachelor,4,1,Cloud Computing,No,1.25,7.22,4.51,Not Eligible
1477,345,Bachelor,14,2,"Excel, Machine Learning, SQL, Leadership",Yes,1.02,5.39,2.22,Not Eligible
1478,2898,Master,13,2,"Machine Learning, Cloud Computing, SQL, Leadership",Yes,4.55,5.42,7.47,Not Eligible
1479,1432,Bachelor,4,3,"Cloud Computing, Data Visualization, Python, Communication",No,9.54,4.49,7.16,Not Eligible
1480,4421,Bachelor,1,1,"SQL, Excel, Communication",No,1.43,6.87,8.73,Not Eligible
1481,3117,Bachelor,6,3,"Data Visualization, Communication",No,9.07,2.7,6.53,Not Eligible
1482,3405,Bachelor,6,3,Python,No,6.07,4.03,1.4,Not Eligible
1483,1730,Bachelor,13,3,"Communication, Cloud Computing, Python",No,1.89,7.12,4.71,Eligible
1484,3509,Bachelor,14,3,"Machine Learning, Leadership, SQL, Excel",No,8.47,7.5,1.94,Eligible
1485,1904,Bachelor,16,2,"Excel, Data Visualization",No,1.42,8.97,6.37,Not Eligible
1486,3521,Master,8,2,Communication,No,5.61,3.74,2.83,Not Eligible
1487,1496,Bachelor,3,3,Machine Learning,Yes,6.57,8.67,9.49,Eligible
1488,3106,Bachelor,15,4,"Python, Machine Learning, Excel",No,7.11,8.42,2.4,Eligible
1489,877,Bachelor,13,4,"Leadership, Python, Excel, Machine Learning",No,3.12,1.09,8.5,Not Eligible
1490,385,Bachelor,0,1,"Python, Data Visualization, Cloud Computing, Excel",No,3.42,7.05,6.48,Not Eligible
1491,3423,Bachelor,1,1,"Data Visualization, Machine Learning, Leadership",No,8.64,7.9,3.78,Not Eligible
1492,2647,Bachelor,12,3,SQL,No,4.2,1.04,8.12,Not Eligible
1493,3554,Bachelor,7,2,"Communication, Cloud Computing, Python",Yes,5.75,5.44,9.69,Not Eligible
1494,79,Master,8,4,"Communication, Machine Learning",Yes,5.01,9.58,2.3,Eligible
1495,4547,Bachelor,9,4,SQL,Yes,2.62,9.58,8.55,Eligible
1496,787,Bachelor,19,2,"Machine Learning, Leadership, Excel, Communication",Yes,4.66,7.66,8.3,Not Eligible
1497,3371,Bachelor,9,4,SQL,Yes,1.39,8.48,7.84,Eligible
1498,3623,Bachelor,15,4,Excel,No,2.36,3.77,3.44,Not Eligible
1499,231,Bachelor,8,1,"Excel, Communication",Yes,8.49,5.15,7.94,Eligible
1500,4507,Bachelor,5,1,"Data Visualization, Excel, SQL",No,9.32,9.96,1.71,Not Eligible
1501,4502,Bachelor,11,3,"Cloud Computing, Machine Learning",No,1.19,8.27,1.95,Eligible
1502,4913,Master,16,4,"Communication, Cloud Computing",Yes,3.89,1.4,3.76,Not Eligible
1503,3899,Bachelor,9,4,"SQL, Machine Learning, Python, Leadership",No,9.42,1.49,3.31,Not Eligible
1504,3624,PhD,10,1,"Python, SQL, Leadership",No,7.48,6.22,5.28,Eligible
1505,3423,Bachelor,8,4,"SQL, Communication, Leadership, Cloud Computing",No,1.11,4.36,6.09,Not Eligible
1506,56,Bachelor,17,2,"SQL, Excel, Python, Cloud Computing",No,1.97,3.12,3.71,Not Eligible
1507,3175,Bachelor,2,1,"Excel, Data Visualization, Machine Learning",No,7.63,3.88,7.26,Not Eligible
1508,3021,Master,4,1,Data Visualization,No,7.12,9.63,1.06,Eligible
1509,998,Bachelor,4,2,Machine Learning,No,8.88,3.89,3.06,Not Eligible
1510,3301,Master,4,3,"Cloud Computing, Python, Machine Learning, SQL",Yes,7.81,4.26,4.18,Eligible
1511,2768,Bachelor,10,1,Leadership,No,9.51,5.06,4.54,Not Eligible
1512,284,Master,3,4,"Leadership, Excel, SQL",No,5.89,2.45,4.28,Not Eligible
1513,1432,Bachelor,4,4,"Excel, Python",No,3.37,4.5,1.11,Not Eligible
1514,382,Master,18,4,Cloud Computing,No,2.18,6.82,9.44,Not Eligible
1515,2750,Bachelor,10,2,"Python, Data Visualization, Excel, Leadership",No,1.04,3.33,7.87,Not Eligible
1516,3077,Bachelor,11,3,"Python, Data Visualization",No,2.12,6.61,1.05,Not Eligible
1517,3756,Master,16,1,"Machine Learning, SQL, Communication, Cloud Computing",No,6.39,3.2,4.16,Not Eligible
1518,306,Bachelor,14,1,"SQL, Cloud Computing",Yes,4.65,8.08,4.98,Not Eligible
1519,641,Master,1,3,"Cloud Computing, SQL, Communication",No,8.13,9.44,2.95,Not Eligible
1520,3520,PhD,0,1,Excel,Yes,3.96,5,9.24,Not Eligible
1521,3533,Bachelor,5,4,"Communication, Excel",No,4.21,9.67,7.57,Eligible
1522,1281,Bachelor,0,3,"Cloud Computing, Data Visualization",Yes,6.55,6.98,8.77,Eligible
1523,143,Bachelor,14,2,"Cloud Computing, Machine Learning, Excel, Communication",No,9.44,7.4,7.64,Not Eligible
1524,4298,Bachelor,1,3,"Leadership, Data Visualization, Python",Yes,6.32,5.6,4.19,Eligible
1525,3022,Bachelor,7,3,"Leadership, Python, SQL, Communication",No,3.08,3.05,5.29,Not Eligible
1526,1844,Bachelor,15,1,"SQL, Data Visualization",No,4.52,9.46,1.54,Not Eligible
1527,746,Bachelor,15,3,"Cloud Computing, Leadership, Python",No,9.31,9.73,4.79,Eligible
1528,553,PhD,15,4,"Excel, Leadership, Machine Learning",No,8.22,8.58,8.21,Eligible
1529,942,Bachelor,19,1,"Excel, Cloud Computing",Yes,1.31,5.17,7.73,Not Eligible
1530,277,Master,18,3,"Cloud Computing, SQL, Excel",Yes,3.28,2.54,8.06,Not Eligible
1531,371,Bachelor,1,2,Leadership,No,6.44,1.81,3.44,Not Eligible
1532,2100,Bachelor,19,2,Machine Learning,No,7.64,5.54,1.89,Not Eligible
1533,4562,Bachelor,13,4,"Leadership, Communication, Python, SQL",No,2.08,3.75,5.14,Not Eligible
1534,4900,Bachelor,1,3,Machine Learning,No,5.64,8.71,5.32,Not Eligible
1535,2982,Bachelor,18,4,"Python, SQL",No,6.06,5.89,6.62,Not Eligible
1536,611,Bachelor,1,3,"Leadership, Data Visualization, Machine Learning",No,2.09,9.29,1.85,Not Eligible
1537,68,Bachelor,17,1,"Excel, Leadership, Machine Learning",No,4.96,7.53,1.35,Not Eligible
1538,3321,Bachelor,16,2,"Communication, Data Visualization, Cloud Computing, Excel",No,1.03,5.07,7.72,Not Eligible
1539,1794,Bachelor,18,1,"Leadership, Excel, SQL",No,7.29,7.69,6.77,Not Eligible
1540,2915,Bachelor,13,1,Excel,No,1.69,9.71,2.98,Not Eligible
1541,338,Bachelor,16,4,"Communication, Leadership, Cloud Computing",No,2.32,6.07,8.55,Not Eligible
1542,1474,Bachelor,15,1,"Data Visualization, Excel, Python, Leadership",No,8.13,3.83,4.13,Not Eligible
1543,4935,Bachelor,18,2,"Communication, SQL, Machine Learning",No,4.72,4.35,5.32,Not Eligible
1544,766,Bachelor,16,3,"Machine Learning, SQL",No,7.24,6.58,2.14,Not Eligible
1545,2345,Master,11,4,"Cloud Computing, SQL",No,6.89,9.75,9.75,Eligible
1546,4856,Master,3,4,"Leadership, Data Visualization, SQL, Cloud Computing",No,2.36,5.25,7.53,Not Eligible
1547,617,Bachelor,7,2,Data Visualization,No,2.52,7.38,3.16,Not Eligible
1548,2311,Master,0,1,"Cloud Computing, Machine Learning",No,6.93,2.61,9.54,Not Eligible
1549,569,Bachelor,13,1,"Data Visualization, SQL",No,3.14,6.58,4.44,Not Eligible
1550,2174,Bachelor,8,1,"Python, Excel, Communication, Leadership",No,4.97,7.6,4.83,Not Eligible
1551,2141,Master,17,4,"Communication, SQL, Leadership, Python",No,8.39,4.81,2.48,Eligible
1552,3193,Master,11,4,"Python, SQL, Leadership",Yes,3.46,6.73,4.84,Not Eligible
1553,2952,Bachelor,1,4,"Machine Learning, Communication, SQL",No,4.08,3.04,9.76,Not Eligible
1554,3587,Master,5,4,"SQL, Python, Leadership",No,3.82,5.13,4.9,Not Eligible
1555,2152,Bachelor,4,1,"SQL, Cloud Computing, Python",No,7.71,8.43,7.3,Not Eligible
1556,2720,Master,17,3,Cloud Computing,Yes,3.89,2.8,9.81,Not Eligible
1557,1747,Bachelor,13,1,"SQL, Leadership",No,4.45,1.8,6.61,Not Eligible
1558,2387,Bachelor,14,3,"Excel, Data Visualization, Leadership, SQL",Yes,6,7.27,3.56,Eligible
1559,1205,Master,12,3,Python,No,5.6,3.82,4.09,Not Eligible
1560,588,Master,8,1,Machine Learning,No,3.48,5.39,3.13,Not Eligible
1561,907,Bachelor,18,4,Cloud Computing,No,6.48,9.03,9.52,Eligible
1562,3744,PhD,0,4,Python,No,4.19,2.56,9.04,Not Eligible
1563,4614,Bachelor,7,1,"Cloud Computing, Leadership, SQL",No,5.12,7.96,6.73,Not Eligible
1564,1702,Bachelor,15,3,"Communication, Cloud Computing, Data Visualization, Machine Learning",Yes,4.4,5.56,1.71,Not Eligible
1565,3895,Master,6,3,"Leadership, Cloud Computing",No,8.06,1.42,8.12,Eligible
1566,1948,Master,15,4,Communication,No,5.86,2.62,8.36,Not Eligible
1567,794,Master,12,1,"Python, Leadership",No,9.89,5.46,7.75,Eligible
1568,3062,Master,12,4,Data Visualization,No,5.44,3.02,2.55,Not Eligible
1569,4682,Bachelor,19,2,Data Visualization,No,9.02,4.2,3.54,Not Eligible
1570,1250,Bachelor,18,1,"Cloud Computing, Python",No,6.16,7.24,8.31,Not Eligible
1571,1133,PhD,10,4,"Machine Learning, Excel, Data Visualization",No,9.04,8.63,4.99,Eligible
1572,1139,Bachelor,15,2,"Python, Cloud Computing, Leadership",No,6.98,4.97,3.18,Not Eligible
1573,4352,Master,8,3,Data Visualization,No,2.09,5.58,6.78,Not Eligible
1574,1622,Master,12,2,Data Visualization,Yes,1.85,6.31,6.34,Not Eligible
1575,4502,Bachelor,18,1,Excel,No,7.88,2.53,5.67,Not Eligible
1576,3590,Bachelor,9,3,"Leadership, Communication",Yes,7.15,6.38,4.1,Eligible
1577,2827,Bachelor,6,3,"Data Visualization, Python, SQL, Leadership",No,5.06,8.28,7.97,Eligible
1578,2386,Bachelor,16,3,"Excel, Python",No,4.87,9.06,6.12,Eligible
1579,259,Bachelor,9,2,Cloud Computing,No,6.95,2.72,8.79,Not Eligible
1580,4849,Master,1,2,"Leadership, Communication",No,6,8.71,8.47,Not Eligible
1581,3699,Bachelor,17,3,"Communication, Machine Learning, Data Visualization, Leadership",Yes,2.82,8.88,9.49,Eligible
1582,1458,Bachelor,15,2,"Machine Learning, Excel, Cloud Computing, Python",Yes,8.88,7.87,7.67,Eligible
1583,4454,Bachelor,2,1,"Communication, Data Visualization, Machine Learning",No,7.33,8.37,2.25,Not Eligible
1584,1272,Bachelor,19,2,"Python, Machine Learning, Leadership",No,6.86,4.99,4.29,Not Eligible
1585,1745,Bachelor,0,3,"Cloud Computing, Data Visualization, Excel, Machine Learning",No,5.29,9.74,7.77,Not Eligible
1586,2487,Bachelor,4,4,Cloud Computing,No,9.51,7.46,2.21,Not Eligible
1587,4638,Bachelor,0,4,"Communication, Python, Data Visualization",No,1.1,3.32,7.09,Not Eligible
1588,2803,Bachelor,6,4,"Machine Learning, Cloud Computing, Communication",Yes,7.29,1.27,3.96,Eligible
1589,3253,Bachelor,17,1,"Cloud Computing, Communication",No,9.84,2.58,3.12,Not Eligible
1590,1586,Master,3,3,"Data Visualization, Excel, Communication",No,6.32,7.71,5.9,Not Eligible
1591,223,Bachelor,8,3,Communication,No,6.34,8.76,1.81,Eligible
1592,2208,Bachelor,0,1,"Cloud Computing, SQL, Machine Learning",No,8.15,1.79,7.25,Not Eligible
1593,4976,Bachelor,0,3,Data Visualization,Yes,1.22,6.89,4.66,Not Eligible
1594,1363,Bachelor,5,1,Machine Learning,Yes,2.04,4.32,6.38,Not Eligible
1595,3849,Bachelor,16,2,"Data Visualization, Machine Learning, Python, Leadership",Yes,8.61,6.29,1.78,Eligible
1596,4368,PhD,15,1,"Cloud Computing, SQL",No,6.91,8.64,4.95,Not Eligible
1597,3494,Bachelor,18,2,"Machine Learning, Communication",Yes,9.84,4.85,8.06,Eligible
1598,3475,Bachelor,3,1,"Excel, Communication, SQL, Leadership",Yes,4.67,2.69,7.39,Not Eligible
1599,3934,Bachelor,9,1,"Communication, Python, SQL",No,5.02,2.02,5.84,Not Eligible
1600,804,Master,15,3,Data Visualization,No,6.97,9.99,2.73,Eligible
1601,4875,Bachelor,6,2,"Machine Learning, Communication, Leadership, Data Visualization",No,2.63,7.91,6.31,Not Eligible
1602,4596,Bachelor,1,1,"Data Visualization, Excel, Cloud Computing",Yes,3.59,1.49,7.09,Not Eligible
1603,4056,Bachelor,19,4,"Excel, Leadership, Communication",No,8.74,2.54,6.04,Not Eligible
1604,191,PhD,6,1,"Cloud Computing, Machine Learning, Leadership",No,8.23,7.17,7.8,Eligible
1605,3669,PhD,6,3,Leadership,Yes,6.14,4.81,4.38,Eligible
1606,4523,Bachelor,4,3,"Data Visualization, Excel, Cloud Computing, Leadership",No,4.23,6.59,4.55,Not Eligible
1607,3658,Master,14,2,"Leadership, Python, Data Visualization",No,6.73,6.09,9.48,Not Eligible
1608,499,Bachelor,18,3,"SQL, Data Visualization, Leadership, Cloud Computing",Yes,2.55,2.41,9.19,Not Eligible
1609,1376,Bachelor,9,1,"Excel, Data Visualization, Python",No,4.9,4.95,2.63,Not Eligible
1610,3361,Bachelor,4,1,"Communication, Excel",No,5.53,5.77,3.21,Not Eligible
1611,1073,Bachelor,4,1,Leadership,Yes,5.15,4.95,6.11,Not Eligible
1612,4275,Bachelor,17,4,"Communication, Data Visualization, Python",Yes,4.77,5.33,6.02,Not Eligible
1613,690,Master,3,4,"Cloud Computing, SQL",No,4.38,9.9,1.71,Not Eligible
1614,3608,Bachelor,13,3,"Leadership, Data Visualization, SQL",No,6.2,9.87,9.23,Eligible
1615,3349,Bachelor,17,2,"Communication, Excel, Leadership, Python",No,4.22,4.17,7.97,Not Eligible
1616,2641,Master,8,1,"Cloud Computing, Data Visualization, Machine Learning",No,6.31,7.57,8.17,Not Eligible
1617,3219,Bachelor,16,3,"Data Visualization, Excel, Cloud Computing, SQL",No,5.68,3.1,7.22,Not Eligible
1618,578,Bachelor,11,1,Machine Learning,No,4.18,9.92,2.5,Not Eligible
1619,64,Bachelor,17,4,"Data Visualization, Excel, Python",No,8.06,4.72,4.28,Not Eligible
1620,365,Bachelor,15,4,"Machine Learning, SQL, Excel",Yes,1.39,6.25,3.94,Not Eligible
1621,1504,Bachelor,2,3,"SQL, Leadership",No,3.43,4.43,9.9,Not Eligible
1622,3616,Bachelor,18,4,"Python, SQL, Communication, Excel",No,5.46,2.41,2.02,Not Eligible
1623,4714,Bachelor,9,2,Communication,No,9.21,2.39,5.99,Not Eligible
1624,3516,PhD,19,3,Leadership,No,1.65,9.45,7.95,Eligible
1625,4915,Bachelor,6,2,Python,Yes,6.25,5.97,4.66,Eligible
1626,2055,Bachelor,0,4,"Leadership, Communication, Python, Cloud Computing",Yes,2.53,9.74,5.74,Not Eligible
1627,3697,Bachelor,0,4,"Cloud Computing, Machine Learning, SQL",Yes,1.11,4.63,2.49,Not Eligible
1628,1213,Master,14,2,"Excel, Cloud Computing, Machine Learning",No,8.8,5.27,2.87,Eligible
1629,4889,Master,0,3,"Python, Leadership, Data Visualization, Cloud Computing",No,8.89,2.96,7.26,Not Eligible
1630,3676,Bachelor,8,4,"Leadership, SQL",No,3.47,1.94,7.52,Not Eligible
1631,1544,Bachelor,13,2,Python,No,8.75,8.05,6.02,Not Eligible
1632,2787,Bachelor,12,3,"Excel, Machine Learning, Leadership, Data Visualization",No,4.39,4.56,9.15,Not Eligible
1633,3070,Bachelor,18,1,"Leadership, Machine Learning, Python, Cloud Computing",No,1.43,8.08,4.35,Not Eligible
1634,2841,PhD,15,2,"Cloud Computing, SQL",No,3.02,5.03,7.53,Not Eligible
1635,4512,Bachelor,16,4,"Communication, Cloud Computing, SQL",No,6.86,9.32,7.53,Eligible
1636,4324,Bachelor,8,1,"Excel, Python, Machine Learning",No,2.86,8.96,5.17,Not Eligible
1637,1305,Bachelor,13,1,"Leadership, Cloud Computing",No,6.19,8.39,8.46,Not Eligible
1638,197,Bachelor,2,2,"Cloud Computing, SQL",No,2.64,8.14,5.73,Not Eligible
1639,4075,Master,8,4,"Machine Learning, SQL, Leadership",Yes,2.88,6.92,6.63,Not Eligible
1640,1511,Bachelor,19,3,Leadership,Yes,7.08,8.84,1.39,Eligible
1641,1271,Bachelor,0,3,Communication,No,8.83,8.66,7.21,Not Eligible
1642,4872,Bachelor,4,4,"Communication, Leadership, Excel",No,7.73,2.92,6.86,Not Eligible
1643,3259,Bachelor,5,3,Excel,Yes,1.52,7.27,9.16,Eligible
1644,133,Bachelor,19,4,"Leadership, Cloud Computing, Python",No,9.31,8.51,2.27,Eligible
1645,4941,PhD,13,3,"Cloud Computing, Machine Learning, Leadership, SQL",No,2.44,7.71,2.71,Eligible
1646,3190,Master,9,1,"Communication, Python, Data Visualization",No,7.55,1.15,5.33,Eligible
1647,4481,Master,7,3,"Machine Learning, Excel",No,7.55,6.56,4.12,Eligible
1648,3630,Bachelor,14,2,"Excel, Leadership",No,5.06,3.56,2.26,Not Eligible
1649,3204,Master,0,4,Machine Learning,No,6.08,7.96,2.38,Not Eligible
1650,4470,Bachelor,15,1,Communication,No,1.86,7.66,7.44,Not Eligible
1651,1056,Bachelor,19,4,"Python, Leadership",Yes,9.76,1.98,7.74,Eligible
1652,2145,Bachelor,6,3,"Excel, Cloud Computing, Communication",No,1.58,4,9.03,Not Eligible
1653,3968,Master,0,1,"Excel, Python, Cloud Computing",No,9.19,9.11,3.79,Not Eligible
1654,3411,Bachelor,4,2,"Machine Learning, Leadership, Cloud Computing, Python",No,3.24,5.35,5.08,Not Eligible
1655,883,Bachelor,9,4,"Excel, Python",Yes,4.52,5.56,2.25,Not Eligible
1656,2435,Master,4,2,"SQL, Cloud Computing, Machine Learning, Data Visualization",Yes,7.82,2.83,2.11,Eligible
1657,4916,Master,7,3,Excel,Yes,8.91,2.6,1.1,Eligible
1658,3851,PhD,5,2,"Data Visualization, Python",No,7.26,1.6,2.52,Eligible
1659,2825,Bachelor,9,1,"Python, Data Visualization, Communication, Excel",Yes,2.09,1.72,3.52,Not Eligible
1660,2233,Bachelor,13,2,"Python, Leadership, SQL",Yes,4.17,2.58,6.09,Not Eligible
1661,3006,Bachelor,7,3,"Communication, Cloud Computing",Yes,6.49,1.13,6.59,Eligible
1662,1208,Bachelor,5,1,"Cloud Computing, Leadership, SQL, Machine Learning",No,9.88,9.95,5.93,Not Eligible
1663,1918,Bachelor,8,3,"Cloud Computing, Excel",No,4.65,4.91,1.29,Not Eligible
1664,2780,Bachelor,14,4,"Excel, Cloud Computing",No,3.72,4.67,5.69,Not Eligible
1665,2050,Master,15,1,"Cloud Computing, Leadership, Machine Learning, Data Visualization",No,3.52,6.28,5.06,Not Eligible
1666,3043,Bachelor,0,3,Machine Learning,No,8.69,8.7,7.94,Not Eligible
1667,3551,Bachelor,13,2,"Leadership, Cloud Computing",Yes,2.54,6.97,9.17,Not Eligible
1668,1486,Bachelor,19,2,"Communication, Excel, Leadership, Cloud Computing",No,6.8,2.93,6.97,Not Eligible
1669,4495,Bachelor,17,3,Leadership,No,8.63,7.7,7.4,Eligible
1670,3909,Bachelor,6,4,"Data Visualization, Communication, Cloud Computing, Machine Learning",Yes,8.68,2.26,4.49,Eligible
1671,1063,Bachelor,11,3,SQL,No,2.17,8.71,6.33,Eligible
1672,4642,Bachelor,9,3,"Data Visualization, Machine Learning",No,8.14,7.6,5.92,Eligible
1673,742,Master,14,3,"Python, Excel, SQL, Data Visualization",No,9.28,9.43,9.76,Eligible
1674,1453,Master,6,3,"SQL, Data Visualization, Leadership",Yes,8.04,8.88,7.59,Eligible
1675,1377,Bachelor,4,4,"Python, Leadership, Machine Learning",Yes,7.32,4.72,3.49,Eligible
1676,383,Bachelor,10,2,Python,No,5.65,9.05,8.99,Not Eligible
1677,67,Bachelor,2,3,"Python, Machine Learning",Yes,7.91,8.29,5.83,Eligible
1678,3904,Master,3,4,"Communication, Python, Leadership, Excel",No,6.19,5.03,2.43,Not Eligible
1679,4596,Bachelor,10,1,"Data Visualization, Cloud Computing, Leadership, Python",No,4.67,7.25,8.5,Not Eligible
1680,1922,Bachelor,14,1,"Communication, Machine Learning",Yes,5.44,2.5,5.74,Not Eligible
1681,4851,Master,14,4,Data Visualization,No,6.89,5.81,1.71,Not Eligible
1682,1436,Bachelor,16,2,"Leadership, Data Visualization, Excel",No,6.03,1.48,4.52,Not Eligible
1683,1654,Bachelor,10,4,"Machine Learning, SQL, Communication, Excel",No,7.02,4.7,5.39,Not Eligible
1684,599,Master,5,3,"Communication, SQL",Yes,9.84,6.65,3.49,Eligible
1685,1633,Bachelor,6,2,"SQL, Cloud Computing",No,3.35,6.65,3.64,Not Eligible
1686,1460,Master,10,4,Cloud Computing,No,9.96,4.33,2.17,Eligible
1687,1806,Master,4,2,"Leadership, Data Visualization, Machine Learning",No,1.49,1.79,7.39,Not Eligible
1688,61,Master,0,4,"SQL, Leadership, Cloud Computing, Machine Learning",No,6.47,6.77,1.48,Not Eligible
1689,4046,Master,0,3,"Data Visualization, Communication, SQL, Cloud Computing",No,9.41,1.76,3.54,Not Eligible
1690,3597,Master,12,4,"Cloud Computing, Python",No,1.92,3.11,2.9,Not Eligible
1691,1299,Bachelor,1,4,SQL,Yes,9.91,8.23,5.04,Eligible
1692,2264,Bachelor,17,1,"Excel, SQL, Communication",No,9.27,4.93,8.07,Not Eligible
1693,3398,Bachelor,5,1,Python,No,8.69,10,3.69,Not Eligible
1694,3913,Bachelor,13,3,"Communication, Data Visualization, Python, SQL",No,5.74,7.93,8.86,Eligible
1695,2573,Bachelor,10,3,"Communication, Python, Excel",No,2.92,4.65,8.8,Not Eligible
1696,174,Master,4,3,Python,No,1.8,1.99,4.67,Not Eligible
1697,3855,Bachelor,18,3,"Data Visualization, Excel, Machine Learning",Yes,1.58,4.86,8.46,Not Eligible
1698,1454,Bachelor,12,4,"Excel, SQL, Leadership, Data Visualization",Yes,6.29,2.23,3.7,Eligible
1699,2930,Bachelor,11,3,"Excel, Cloud Computing, Python, SQL",No,7.32,7.21,3.33,Eligible
1700,2654,Bachelor,8,4,"Cloud Computing, Excel, Data Visualization",No,2.99,1.95,8.82,Not Eligible
1701,608,Bachelor,3,4,"SQL, Excel, Data Visualization, Cloud Computing",No,5.4,9.49,7.07,Not Eligible
1702,4131,Bachelor,5,4,Excel,No,5.76,4.51,3.2,Not Eligible
1703,1778,Bachelor,3,4,"Communication, Data Visualization, SQL",No,9.07,1.29,1.23,Not Eligible
1704,2841,Master,0,1,Cloud Computing,No,2.13,8.46,7.75,Not Eligible
1705,2840,Bachelor,16,2,"Machine Learning, Cloud Computing, Data Visualization, Python",No,8.18,4.16,3.8,Not Eligible
1706,3236,Bachelor,16,4,"SQL, Excel, Machine Learning",Yes,7.94,7.03,1.88,Eligible
1707,1418,Master,9,2,Python,Yes,7.13,8.77,3.6,Eligible
1708,3340,Master,17,1,"Communication, Leadership",No,3.23,1.53,4.9,Not Eligible
